276.418, 130.827, 8.340,  9.560 False
276.140, 130.823, 8.342,  9.593 False
275.862, 130.819, 8.343,  9.626 False
275.584, 130.814, 8.345,  9.659 False
275.306, 130.810, 8.346,  9.692 False
275.028, 130.805, 8.347,  9.725 False
274.750, 130.800, 8.348,  9.758 False
274.472, 130.795, 8.348,  9.791 False
274.194, 130.790, 8.349,  9.824 False
273.915, 130.783, 8.349,  9.857 False
273.637, 130.777, 8.350,  9.890 False
273.359, 130.770, 8.350,  9.923 False
273.081, 130.763, 8.350,  9.956 False
272.803, 130.755, 8.351,  9.989 False
272.524, 130.748, 8.351, 10.022 False
272.246, 130.740, 8.351, 10.055 False
271.968, 130.732, 8.351, 10.088 False
271.690, 130.724, 8.351, 10.121 False
271.412, 130.715, 8.351, 10.154 False
271.133, 130.707, 8.351, 10.187 False
270.855, 130.698, 8.351, 10.220 False
270.577, 130.689, 8.351, 10.253 False
270.299, 130.680, 8.351, 10.286 False
270.021, 130.670, 8.350, 10.319 False
269.742, 130.660, 8.350, 10.352 False
269.464, 130.650, 8.350, 10.385 False
269.186, 130.641, 8.350, 10.418 False
268.908, 130.630, 8.350, 10.451 False
268.630, 130.620, 8.350, 10.484 False
268.352, 130.610, 8.350, 10.517 False
268.074, 130.599, 8.349, 10.550 False
267.796, 130.589, 8.349, 10.583 False
267.517, 130.578, 8.349, 10.616 False
267.239, 130.567, 8.349, 10.649 False
266.961, 130.556, 8.348, 10.682 False
266.683, 130.545, 8.348, 10.715 False
266.405, 130.533, 8.348, 10.748 False
266.127, 130.522, 8.347, 10.781 False
265.849, 130.510, 8.347, 10.814 False
265.571, 130.499, 8.347, 10.847 False
265.293, 130.487, 8.347, 10.880 False
265.015, 130.475, 8.346, 10.913 False
264.737, 130.463, 8.346, 10.946 False
264.459, 130.451, 8.346, 10.979 False
264.182, 130.439, 8.346, 11.012 False
263.904, 130.427, 8.345, 11.045 False
263.626, 130.414, 8.345, 11.078 False
263.348, 130.402, 8.345, 11.111 False
263.070, 130.390, 8.345, 11.144 False
262.792, 130.377, 8.344, 11.177 False
